Date,AAII Bullish,AAII Neutral,AAII Bearish,8-week Moving Average,,
9-11-87,50.0%,23.0%,27.0%,46.63%,,
9-18-87,60.0%,29.0%,11.0%,49.63%,,
9-25-87,53.0%,17.0%,30.0%,53.00%,,
10-2-87,44.0%,26.0%,30.0%,51.50%,,
10-9-87,46.0%,39.0%,15.0%,51.63%,,
10-16-87,37.0%,30.0%,33.0%,48.00%,,
10-23-87,39.0%,30.0%,31.0%,46.38%,,
10-30-87,44.0%,23.0%,33.0%,46.63%,,
11-6-87,47.0%,31.0%,22.0%,46.25%,,
11-13-87,31.0%,41.0%,28.0%,42.63%,,
11-20-87,39.0%,42.0%,19.0%,40.88%,,
11-27-87,27.0%,46.0%,27.0%,38.75%,,
12-4-87,25.0%,33.0%,42.0%,36.13%,,
12-11-87,23.0%,45.0%,32.0%,34.38%,,
12-18-87,33.0%,40.0%,27.0%,33.63%,,
12-24-87,28.0%,52.0%,20.0%,31.63%,,
12-31-87,25.0%,49.0%,26.0%,28.88%,,
1-8-88,34.0%,46.0%,20.0%,29.25%,,
1-15-88,34.0%,40.0%,26.0%,28.63%,,
1-22-88,21.0%,48.0%,31.0%,27.88%,,
1-29-88,26.0%,45.0%,29.0%,28.00%,,
2-5-88,32.0%,53.0%,15.0%,29.13%,,
2-12-88,32.0%,46.0%,22.0%,29.00%,,
2-19-88,27.0%,49.0%,24.0%,28.88%,,
2-26-88,30.0%,51.0%,19.0%,29.50%,,
3-4-88,38.0%,40.0%,22.0%,30.00%,,
3-11-88,43.0%,40.0%,17.0%,31.13%,,
3-18-88,41.0%,49.0%,10.0%,33.63%,,
3-25-88,45.0%,38.0%,17.0%,36.00%,,
4-1-88,35.0%,45.0%,20.0%,36.38%,,
4-8-88,33.0%,48.0%,19.0%,36.50%,,
4-15-88,23.0%,53.0%,24.0%,36.00%,,
4-22-88,23.0%,57.0%,20.0%,35.13%,,
4-29-88,22.0%,48.0%,30.0%,33.13%,,
5-6-88,38.0%,42.0%,20.0%,32.50%,,
5-13-88,19.0%,56.0%,25.0%,29.75%,,
5-20-88,23.0%,52.0%,25.0%,27.00%,,
5-27-88,28.0%,52.0%,20.0%,26.13%,,
6-3-88,26.0%,62.0%,12.0%,25.25%,,
6-10-88,28.0%,49.0%,23.0%,25.88%,,
6-17-88,29.0%,50.0%,21.0%,26.63%,,
6-24-88,33.0%,44.0%,23.0%,28.00%,,
7-1-88,45.0%,38.0%,17.0%,28.88%,,
7-8-88,35.0%,50.0%,15.0%,30.88%,,
7-15-88,26.0%,37.0%,37.0%,31.25%,,
7-22-88,16.0%,58.0%,26.0%,29.75%,,
7-29-88,23.0%,54.0%,23.0%,29.38%,,
8-5-88,21.0%,49.0%,30.0%,28.50%,,
8-12-88,26.0%,48.0%,26.0%,28.13%,,
8-19-88,19.0%,53.0%,28.0%,26.38%,,
8-26-88,28.0%,40.0%,32.0%,24.25%,,
9-2-88,18.0%,43.0%,39.0%,22.13%,,
9-9-88,17.0%,52.0%,31.0%,21.00%,,
9-16-88,24.0%,46.0%,30.0%,22.00%,,
9-23-88,20.0%,53.0%,27.0%,21.63%,,
9-30-88,26.0%,44.0%,30.0%,22.25%,,
10-7-88,13.0%,49.0%,38.0%,20.63%,,
10-14-88,22.0%,46.0%,32.0%,21.00%,,
10-21-88,26.0%,51.0%,23.0%,20.75%,,
10-28-88,40.0%,38.0%,22.0%,23.50%,,
11-4-88,35.0%,46.0%,19.0%,25.75%,,
11-11-88,23.0%,56.0%,21.0%,25.63%,,
11-18-88,30.0%,34.0%,36.0%,26.88%,,
11-25-88,17.0%,44.0%,39.0%,25.75%,,
12-2-88,19.0%,47.0%,34.0%,26.50%,,
12-9-88,17.0%,44.0%,39.0%,25.88%,,
12-16-88,24.0%,54.0%,22.0%,25.63%,,
12-23-88,22.0%,46.0%,32.0%,23.38%,,
12-30-88,24.0%,54.0%,22.0%,22.00%,,
1-6-89,26.0%,51.0%,23.0%,22.38%,,
1-13-89,36.0%,44.0%,20.0%,23.13%,,
1-20-89,36.0%,47.0%,17.0%,25.50%,,
1-27-89,32.0%,49.0%,19.0%,27.13%,,
2-3-89,33.0%,44.0%,23.0%,29.13%,,
2-10-89,43.0%,31.0%,26.0%,31.50%,,
2-17-89,42.0%,41.0%,17.0%,34.00%,,
2-24-89,29.0%,45.0%,26.0%,34.63%,,
3-3-89,29.0%,35.0%,36.0%,35.00%,,
3-10-89,13.0%,52.0%,35.0%,32.13%,,
3-17-89,28.0%,43.0%,29.0%,31.13%,,
3-23-89,29.0%,41.0%,30.0%,30.75%,,
3-31-89,18.0%,42.0%,40.0%,28.88%,,
4-7-89,23.0%,45.0%,32.0%,26.38%,,
4-14-89,25.0%,42.0%,33.0%,24.25%,,
4-21-89,21.0%,51.0%,28.0%,23.25%,,
4-28-89,31.0%,40.0%,29.0%,23.50%,,
5-5-89,30.0%,40.0%,30.0%,25.63%,,
5-12-89,38.0%,43.0%,19.0%,26.88%,,
5-19-89,43.0%,38.0%,19.0%,28.63%,,
5-26-89,48.0%,31.0%,21.0%,32.38%,,
6-2-89,42.0%,27.0%,31.0%,34.75%,,
6-9-89,43.0%,34.0%,23.0%,37.00%,,
6-16-89,32.0%,37.0%,31.0%,38.38%,,
6-23-89,33.0%,22.0%,45.0%,38.63%,,
6-30-89,40.0%,34.0%,26.0%,39.88%,,
7-7-89,37.0%,32.0%,31.0%,39.75%,,
7-14-89,22.0%,30.0%,48.0%,37.13%,,
7-21-89,32.0%,39.0%,29.0%,35.13%,,
7-28-89,41.0%,25.0%,34.0%,35.00%,,
8-4-89,35.0%,30.0%,35.0%,34.00%,,
8-11-89,53.0%,21.0%,26.0%,36.63%,,
8-18-89,35.0%,28.0%,37.0%,36.88%,,
8-25-89,45.0%,24.0%,31.0%,37.50%,,
9-1-89,34.0%,30.0%,36.0%,37.13%,,
9-8-89,30.0%,30.0%,40.0%,38.13%,,
9-15-89,31.0%,44.0%,25.0%,38.00%,,
9-22-89,24.0%,37.0%,39.0%,35.88%,,
9-29-89,33.0%,38.0%,29.0%,35.63%,,
10-6-89,24.0%,43.0%,33.0%,32.00%,,
10-13-89,28.0%,52.0%,20.0%,31.13%,,
10-20-89,39.0%,28.0%,33.0%,30.38%,,
10-27-89,36.0%,33.0%,31.0%,30.63%,,
11-3-89,37.0%,31.0%,32.0%,31.50%,,
11-10-89,27.0%,37.0%,36.0%,31.00%,,
11-17-89,24.0%,28.0%,48.0%,31.00%,,
11-22-89,27.0%,40.0%,33.0%,30.25%,,
12-1-89,28.0%,40.0%,32.0%,30.75%,,
12-8-89,31.0%,41.0%,28.0%,31.13%,,
12-15-89,42.0%,30.0%,28.0%,31.50%,,
12-22-89,36.0%,32.0%,32.0%,31.50%,,
12-29-89,35.0%,31.0%,34.0%,31.25%,,
1-5-90,40.0%,30.0%,30.0%,32.88%,,
1-12-90,45.0%,38.0%,17.0%,35.50%,,
1-19-90,31.0%,49.0%,20.0%,36.00%,,
1-26-90,24.0%,38.0%,38.0%,35.50%,,
2-2-90,15.0%,37.0%,48.0%,33.50%,,
2-9-90,19.0%,30.0%,51.0%,30.63%,,
2-16-90,23.0%,43.0%,34.0%,29.00%,,
2-23-90,24.0%,38.0%,38.0%,27.63%,,
3-2-90,21.0%,37.0%,42.0%,25.25%,,
3-9-90,22.0%,42.0%,36.0%,22.38%,,
3-16-90,25.0%,35.0%,40.0%,21.63%,,
3-23-90,37.0%,39.0%,24.0%,23.25%,,
3-30-90,34.0%,35.0%,31.0%,25.63%,,
4-6-90,38.0%,37.0%,25.0%,28.00%,,
4-12-90,27.0%,56.0%,17.0%,28.50%,,
4-20-90,34.0%,43.0%,23.0%,29.75%,,
4-27-90,28.0%,35.0%,37.0%,30.63%,,
5-4-90,20.0%,35.0%,45.0%,30.38%,,
5-11-90,28.0%,38.0%,34.0%,30.75%,,
5-18-90,37.0%,35.0%,28.0%,30.75%,,
5-25-90,39.0%,32.0%,29.0%,31.38%,,
6-1-90,37.0%,28.0%,35.0%,31.25%,,
6-8-90,35.0%,35.0%,30.0%,32.25%,,
6-15-90,43.0%,32.0%,25.0%,33.38%,,
6-22-90,34.0%,32.0%,34.0%,34.13%,,
6-29-90,31.0%,31.0%,38.0%,35.50%,,
7-6-90,28.0%,34.0%,38.0%,35.50%,,
7-13-90,40.0%,30.0%,30.0%,35.88%,,
7-20-90,40.0%,30.0%,30.0%,36.00%,,
7-27-90,52.0%,24.0%,24.0%,37.88%,,
8-3-90,26.0%,28.0%,46.0%,36.75%,,
8-10-90,25.0%,21.0%,54.0%,34.50%,,
8-17-90,18.0%,23.0%,59.0%,32.50%,,
8-24-90,25.0%,24.0%,51.0%,31.75%,,
8-31-90,23.0%,16.0%,61.0%,31.13%,,
9-7-90,33.0%,18.0%,49.0%,30.25%,,
9-14-90,16.0%,33.0%,51.0%,27.25%,,
9-21-90,13.0%,31.0%,56.0%,22.38%,,
9-28-90,26.0%,20.0%,54.0%,22.38%,,
10-5-90,15.0%,26.0%,59.0%,21.13%,,
10-12-90,21.0%,27.0%,52.0%,21.50%,,
10-19-90,13.0%,20.0%,67.0%,20.00%,,
10-26-90,23.0%,19.0%,58.0%,20.00%,,
11-2-90,20.0%,36.0%,44.0%,18.38%,,
11-9-90,20.0%,32.0%,48.0%,18.88%,,
11-16-90,12.0%,33.0%,55.0%,18.75%,,
11-21-90,16.0%,37.0%,47.0%,17.50%,,
11-30-90,22.0%,33.0%,45.0%,18.38%,,
12-7-90,26.0%,33.0%,41.0%,19.00%,,
12-14-90,31.0%,31.0%,38.0%,21.25%,,
12-21-90,16.0%,34.0%,50.0%,20.38%,,
12-28-90,30.0%,30.0%,40.0%,21.63%,,
1-4-91,31.0%,39.0%,30.0%,23.00%,,
1-11-91,22.0%,30.0%,48.0%,24.25%,,
1-18-91,22.0%,27.0%,51.0%,25.00%,,
1-25-91,25.0%,25.0%,50.0%,25.38%,,
2-1-91,29.0%,29.0%,42.0%,25.75%,,
2-8-91,36.0%,28.0%,36.0%,26.38%,,
2-15-91,46.0%,30.0%,24.0%,30.13%,,
2-22-91,57.0%,20.0%,23.0%,33.50%,,
3-1-91,50.0%,18.0%,32.0%,35.88%,,
3-8-91,50.0%,21.0%,29.0%,39.38%,,
3-15-91,55.0%,22.0%,23.0%,43.50%,,
3-22-91,42.0%,31.0%,27.0%,45.63%,,
3-29-91,47.0%,28.0%,25.0%,47.88%,,
4-5-91,58.0%,22.0%,20.0%,50.63%,,
4-12-91,43.0%,32.0%,25.0%,50.25%,,
4-19-91,39.0%,39.0%,22.0%,48.00%,,
4-26-91,55.0%,28.0%,17.0%,48.63%,,
5-3-91,39.0%,33.0%,28.0%,47.25%,,
5-10-91,38.0%,34.0%,28.0%,45.13%,,
5-17-91,42.0%,32.0%,26.0%,45.13%,,
5-24-91,38.0%,39.0%,23.0%,44.00%,,
5-31-91,42.0%,35.0%,23.0%,42.00%,,
6-7-91,46.0%,37.0%,17.0%,42.38%,,
6-14-91,47.0%,31.0%,22.0%,43.38%,,
6-21-91,44.0%,40.0%,16.0%,42.00%,,
6-28-91,28.0%,37.0%,35.0%,40.63%,,
7-3-91,28.0%,39.0%,33.0%,39.38%,,
7-12-91,41.0%,39.0%,20.0%,39.25%,,
7-19-91,27.0%,51.0%,22.0%,37.88%,,
7-26-91,35.0%,42.0%,23.0%,37.00%,,
8-2-91,33.0%,36.0%,31.0%,35.38%,,
8-9-91,26.0%,45.0%,29.0%,32.75%,,
8-16-91,37.0%,33.0%,30.0%,31.88%,,
8-23-91,32.0%,36.0%,32.0%,32.38%,,
8-30-91,41.0%,40.0%,19.0%,34.00%,,
9-6-91,36.0%,31.0%,33.0%,33.38%,,
9-13-91,43.0%,39.0%,18.0%,35.38%,,
9-20-91,32.0%,48.0%,20.0%,35.00%,,
9-27-91,31.0%,38.0%,31.0%,34.75%,,
10-4-91,35.0%,30.0%,35.0%,35.88%,,
10-11-91,39.0%,37.0%,24.0%,36.13%,,
10-18-91,30.0%,31.0%,39.0%,35.88%,,
10-25-91,31.0%,36.0%,33.0%,34.63%,,
11-1-91,52.0%,12.0%,36.0%,36.63%,,
11-8-91,32.0%,36.0%,32.0%,35.25%,,
11-15-91,38.0%,33.0%,29.0%,36.00%,,
11-22-91,48.0%,32.0%,20.0%,38.13%,,
11-27-91,33.0%,27.0%,40.0%,37.88%,,
12-6-91,23.0%,32.0%,45.0%,35.88%,,
12-13-91,33.0%,36.0%,31.0%,36.25%,,
12-20-91,36.0%,30.0%,34.0%,36.88%,,
12-27-91,39.0%,29.0%,32.0%,35.25%,,
1-3-92,49.0%,20.0%,31.0%,37.38%,,
1-10-92,48.0%,27.0%,25.0%,38.63%,,
1-17-92,51.0%,21.0%,28.0%,39.00%,,
1-24-92,46.0%,25.0%,29.0%,40.63%,,
1-31-92,47.0%,26.0%,27.0%,43.63%,,
2-7-92,36.0%,39.0%,25.0%,44.00%,,
2-14-92,46.0%,28.0%,26.0%,45.25%,,
2-21-92,47.0%,25.0%,28.0%,46.25%,,
2-28-92,43.0%,36.0%,21.0%,45.50%,,
3-6-92,45.0%,29.0%,26.0%,45.13%,,
3-13-92,38.0%,35.0%,27.0%,43.50%,,
3-20-92,48.0%,29.0%,23.0%,43.75%,,
3-27-92,43.0%,35.0%,22.0%,43.25%,,
4-3-92,35.0%,42.0%,23.0%,43.13%,,
4-10-92,43.0%,27.0%,30.0%,42.75%,,
4-17-92,37.0%,38.0%,25.0%,41.50%,,
4-24-92,52.0%,34.0%,14.0%,42.63%,,
5-1-92,29.0%,36.0%,35.0%,40.63%,,
5-8-92,43.0%,31.0%,26.0%,41.25%,,
5-15-92,40.0%,37.0%,23.0%,40.25%,,
5-22-92,48.0%,24.0%,28.0%,40.88%,,
5-29-92,41.0%,43.0%,16.0%,41.63%,,
6-5-92,41.0%,40.0%,19.0%,41.38%,,
6-12-92,31.0%,46.0%,23.0%,40.63%,,
6-19-92,35.0%,37.0%,28.0%,38.50%,,
6-26-92,39.0%,34.0%,27.0%,39.75%,,
7-2-92,21.0%,44.0%,35.0%,37.00%,,
7-9-92,23.0%,42.0%,35.0%,34.88%,,
7-17-92,29.0%,40.0%,31.0%,32.50%,,
7-24-92,32.0%,44.0%,24.0%,31.38%,,
7-31-92,22.0%,47.0%,31.0%,29.00%,,
8-5-92,28.0%,39.0%,33.0%,28.63%,,
8-14-92,26.0%,37.0%,37.0%,27.50%,,
8-21-92,22.0%,34.0%,44.0%,25.38%,,
8-28-92,30.0%,37.0%,33.0%,26.50%,,
9-4-92,14.0%,44.0%,42.0%,25.38%,,
9-11-92,22.0%,39.0%,39.0%,24.50%,,
9-18-92,21.0%,42.0%,37.0%,23.13%,,
9-25-92,25.0%,34.0%,41.0%,23.50%,,
10-2-92,30.0%,35.0%,35.0%,23.75%,,
10-9-92,21.0%,35.0%,44.0%,23.13%,,
10-16-92,20.0%,24.0%,56.0%,22.88%,,
10-23-92,21.0%,32.0%,47.0%,21.75%,,
10-30-92,35.0%,35.0%,30.0%,24.38%,,
11-6-92,49.0%,27.0%,24.0%,27.75%,,
11-13-92,37.0%,44.0%,19.0%,29.75%,,
11-20-92,48.0%,38.0%,14.0%,32.63%,,
11-25-92,43.0%,37.0%,20.0%,34.25%,,
12-4-92,37.0%,39.0%,24.0%,36.25%,,
12-11-92,43.0%,42.0%,15.0%,39.13%,,
12-18-92,63.0%,27.0%,10.0%,44.38%,,
12-24-92,55.0%,30.0%,15.0%,46.88%,,
1-1-93,60.0%,27.0%,13.0%,48.25%,,
1-8-93,20.0%,49.0%,31.0%,46.13%,,
1-15-93,54.0%,32.0%,14.0%,46.88%,,
1-22-93,41.0%,38.0%,21.0%,46.63%,,
1-29-93,40.0%,37.0%,23.0%,47.00%,,
2-5-93,44.0%,34.0%,22.0%,47.13%,,
2-12-93,47.0%,31.0%,22.0%,45.13%,,
2-19-93,46.0%,27.0%,27.0%,44.00%,,
2-26-93,34.0%,32.0%,34.0%,40.75%,,
3-5-93,27.0%,36.0%,37.0%,41.63%,,
3-12-93,45.0%,33.0%,22.0%,40.50%,,
3-19-93,41.0%,32.0%,27.0%,40.50%,,
3-26-93,43.0%,34.0%,23.0%,40.88%,,
4-2-93,37.0%,36.0%,27.0%,40.00%,,
4-9-93,32.0%,39.0%,29.0%,38.13%,,
4-16-93,31.0%,35.0%,34.0%,36.25%,,
4-23-93,28.0%,42.0%,30.0%,35.50%,,
4-30-93,22.0%,37.0%,41.0%,34.88%,,
5-7-93,21.0%,45.0%,34.0%,31.88%,,
5-14-93,20.0%,41.0%,39.0%,29.25%,,
5-21-93,21.0%,34.0%,45.0%,26.50%,,
5-28-93,24.0%,37.0%,39.0%,24.88%,,
6-4-93,33.0%,39.0%,28.0%,25.00%,,
6-11-93,23.0%,36.0%,41.0%,24.00%,,
6-18-93,22.0%,35.0%,43.0%,23.25%,,
6-25-93,28.0%,38.0%,34.0%,24.00%,,
7-2-93,18.0%,44.0%,38.0%,23.63%,,
7-9-93,21.0%,45.0%,34.0%,23.75%,,
7-16-93,22.0%,44.0%,34.0%,23.88%,,
7-23-93,24.0%,43.0%,33.0%,23.88%,,
7-30-93,25.0%,45.0%,30.0%,22.88%,,
8-6-93,26.0%,42.0%,32.0%,23.25%,,
8-13-93,25.0%,41.0%,34.0%,23.63%,,
8-20-93,29.0%,41.0%,30.0%,23.75%,,
8-27-93,27.0%,35.0%,38.0%,24.88%,,
9-3-93,38.0%,33.0%,29.0%,27.00%,,
9-10-93,30.0%,30.0%,40.0%,28.00%,,
9-17-93,32.0%,34.0%,34.0%,29.00%,,
9-24-93,28.0%,40.0%,32.0%,29.38%,,
10-1-93,26.0%,34.0%,40.0%,29.38%,,
10-8-93,29.0%,37.0%,34.0%,29.88%,,
10-15-93,31.0%,38.0%,31.0%,30.13%,,
10-22-93,42.0%,30.0%,28.0%,32.00%,,
10-29-93,43.0%,33.0%,24.0%,32.63%,,
11-4-93,32.0%,36.0%,32.0%,32.88%,,
11-11-93,35.0%,30.0%,35.0%,33.25%,,
11-18-93,34.0%,31.0%,35.0%,34.00%,,
11-24-93,45.0%,30.0%,25.0%,36.38%,,
12-2-93,33.0%,32.0%,35.0%,36.88%,,
12-9-93,37.0%,39.0%,24.0%,37.63%,,
12-16-93,33.0%,38.0%,29.0%,36.50%,,
12-23-93,36.0%,31.0%,33.0%,35.63%,,
12-30-93,44.0%,28.0%,28.0%,37.13%,,
1-6-94,40.0%,33.0%,27.0%,37.75%,,
1-13-94,38.0%,31.0%,31.0%,38.25%,,
1-20-94,48.0%,26.0%,26.0%,38.63%,,
1-27-94,41.0%,25.0%,34.0%,39.63%,,
2-3-94,38.0%,29.0%,33.0%,39.75%,,
2-10-94,49.0%,27.0%,24.0%,41.75%,,
2-17-94,40.0%,36.0%,24.0%,42.25%,,
2-24-94,41.0%,30.0%,29.0%,41.88%,,
3-3-94,31.0%,42.0%,27.0%,40.75%,,
3-10-94,29.0%,34.0%,37.0%,39.63%,,
3-17-94,24.0%,41.0%,35.0%,36.63%,,
3-24-94,29.0%,37.0%,34.0%,35.13%,,
3-31-94,23.0%,33.0%,44.0%,33.25%,,
4-7-94,28.0%,31.0%,41.0%,30.63%,,
4-14-94,29.0%,23.0%,48.0%,29.25%,,
4-21-94,26.0%,41.0%,33.0%,27.38%,,
4-28-94,27.0%,35.0%,38.0%,26.88%,,
5-5-94,32.0%,32.0%,36.0%,27.25%,,
5-12-94,38.0%,32.0%,30.0%,29.00%,,
5-19-94,22.0%,36.0%,42.0%,28.13%,,
5-26-94,29.0%,33.0%,38.0%,28.88%,,
6-2-94,39.0%,36.0%,25.0%,30.25%,,
6-9-94,28.0%,47.0%,25.0%,30.13%,,
6-16-94,32.0%,42.0%,26.0%,30.88%,,
6-23-94,29.0%,45.0%,26.0%,31.13%,,
6-30-94,32.0%,37.0%,31.0%,31.13%,,
7-7-94,28.0%,32.0%,40.0%,29.88%,,
7-14-94,25.0%,40.0%,35.0%,30.25%,,
7-21-94,34.0%,38.0%,28.0%,30.88%,,
7-28-94,27.0%,42.0%,31.0%,29.38%,,
8-4-94,22.0%,52.0%,26.0%,28.63%,,
8-11-94,34.0%,37.0%,29.0%,28.88%,,
8-18-94,30.0%,40.0%,30.0%,29.00%,,
8-25-94,32.0%,39.0%,29.0%,29.00%,,
9-1-94,43.0%,34.0%,23.0%,30.88%,,
9-8-94,47.0%,33.0%,20.0%,33.63%,,
9-15-94,45.0%,25.0%,30.0%,35.00%,,
9-22-94,37.0%,36.0%,27.0%,36.25%,,
9-29-94,38.0%,32.0%,30.0%,38.25%,,
10-6-94,33.0%,39.0%,28.0%,38.13%,,
10-13-94,35.0%,39.0%,26.0%,38.75%,,
10-20-94,39.0%,33.0%,28.0%,39.63%,,
10-27-94,43.0%,38.0%,19.0%,39.63%,,
11-3-94,40.0%,35.0%,25.0%,38.75%,,
11-10-94,37.0%,31.0%,32.0%,37.75%,,
11-17-94,39.0%,22.0%,39.0%,38.00%,,
11-23-94,39.0%,32.0%,29.0%,38.13%,,
11-30-94,44.0%,30.0%,26.0%,39.50%,,
12-8-94,30.0%,35.0%,35.0%,38.88%,,
12-15-94,33.0%,35.0%,32.0%,38.13%,,
12-22-94,42.0%,25.0%,33.0%,38.00%,,
12-29-94,40.0%,43.0%,17.0%,38.00%,,
1-5-95,44.0%,31.0%,25.0%,38.88%,,
1-12-95,36.0%,42.0%,22.0%,38.50%,,
1-19-95,37.0%,39.0%,24.0%,38.25%,,
1-26-95,38.0%,37.0%,25.0%,37.50%,,
2-2-95,38.0%,37.0%,25.0%,38.50%,,
2-9-95,34.0%,43.0%,23.0%,38.63%,,
2-16-95,43.0%,37.0%,20.0%,38.75%,,
2-23-95,46.0%,37.0%,17.0%,39.50%,,
3-2-95,53.0%,26.0%,21.0%,40.63%,,
3-9-95,48.0%,34.0%,18.0%,42.13%,,
3-16-95,39.0%,41.0%,20.0%,42.38%,,
3-23-95,47.0%,30.0%,23.0%,43.50%,,
3-30-95,52.0%,23.0%,25.0%,45.25%,,
4-6-95,42.0%,25.0%,33.0%,46.25%,,
4-13-95,40.0%,23.0%,37.0%,45.88%,,
4-20-95,37.0%,27.0%,36.0%,44.75%,,
4-27-95,52.0%,29.0%,19.0%,44.63%,,
5-4-95,42.0%,27.0%,31.0%,43.88%,,
5-11-95,44.0%,26.0%,30.0%,44.50%,,
5-18-95,42.0%,23.0%,35.0%,43.88%,,
5-25-95,44.0%,26.0%,30.0%,42.88%,,
6-1-95,39.0%,34.0%,27.0%,42.50%,,
6-8-95,44.0%,25.0%,31.0%,43.00%,,
6-15-95,36.0%,31.0%,33.0%,42.88%,,
6-22-95,48.0%,21.0%,31.0%,42.38%,,
6-29-95,35.0%,28.0%,37.0%,41.50%,,
7-6-95,35.0%,34.0%,31.0%,40.38%,,
7-13-95,44.0%,18.0%,38.0%,40.63%,,
7-20-95,43.0%,30.0%,27.0%,40.50%,,
7-27-95,41.0%,26.0%,33.0%,40.75%,,
8-3-95,38.0%,34.0%,28.0%,40.00%,,
8-10-95,40.0%,30.0%,30.0%,40.50%,,
8-17-95,36.0%,43.0%,21.0%,39.00%,,
8-24-95,35.0%,28.0%,37.0%,39.00%,,
8-31-95,38.0%,42.0%,20.0%,39.38%,,
9-7-95,37.0%,36.0%,27.0%,38.50%,,
9-14-95,46.0%,32.0%,22.0%,38.88%,,
9-21-95,46.0%,25.0%,29.0%,39.50%,,
9-28-95,42.0%,27.0%,31.0%,40.00%,,
10-5-95,39.0%,37.0%,24.0%,39.88%,,
10-12-95,41.0%,30.0%,29.0%,40.50%,,
10-19-95,47.0%,32.0%,21.0%,42.00%,,
10-26-95,46.0%,33.0%,21.0%,43.00%,,
11-2-95,47.0%,34.0%,19.0%,44.25%,,
11-9-95,49.0%,35.0%,16.0%,44.63%,,
11-16-95,46.0%,31.0%,23.0%,44.63%,,
11-22-95,48.0%,18.0%,34.0%,45.38%,,
11-30-95,51.0%,30.0%,19.0%,46.88%,,
12-7-95,48.0%,28.0%,24.0%,47.75%,,
12-14-95,51.0%,23.0%,26.0%,48.25%,,
12-21-95,48.0%,28.0%,24.0%,48.50%,,
12-28-95,46.0%,34.0%,20.0%,48.38%,,
1-4-96,55.0%,18.0%,27.0%,49.13%,,
1-11-96,#N/A,#N/A,#N/A,#N/A,,
1-18-96,42.0%,29.0%,29.0%,#N/A,,
1-25-96,36.0%,40.0%,24.0%,#N/A,,
2-1-96,54.0%,31.0%,15.0%,#N/A,,
2-8-96,53.0%,31.0%,16.0%,#N/A,,
2-15-96,54.0%,21.0%,25.0%,#N/A,,
2-22-96,49.0%,22.0%,29.0%,#N/A,,
2-29-96,45.0%,28.0%,27.0%,#N/A,,
