Date,AAII Bullish,AAII Neutral,AAII Bearish,8-week Moving Average,,
9-23-04,51.2%,22.0%,26.8%,41.83%,,
9-30-04,41.1%,19.6%,39.3%,43.09%,,
10-7-04,56.9%,23.4%,19.7%,45.38%,,
10-14-04,44.7%,27.1%,28.2%,46.61%,,
10-21-04,42.5%,28.8%,28.8%,46.73%,,
10-28-04,42.3%,26.0%,31.7%,46.83%,,
11-4-04,57.1%,20.0%,22.9%,47.66%,,
11-11-04,62.5%,15.9%,21.6%,49.79%,,
11-18-04,64.1%,13.5%,22.4%,51.41%,,
11-24-04,49.5%,23.7%,26.8%,52.46%,,
12-2-04,56.8%,17.8%,25.4%,52.44%,,
12-9-04,51.4%,23.4%,25.2%,53.27%,,
12-16-04,52.5%,28.3%,19.2%,54.52%,,
12-23-04,60.2%,21.6%,18.2%,56.76%,,
12-30-04,57.7%,24.8%,17.5%,56.83%,,
1-6-05,38.1%,27.4%,34.5%,53.78%,,
1-13-05,34.0%,26.1%,39.9%,50.01%,,
1-20-05,33.7%,32.7%,33.7%,48.04%,,
1-27-05,26.4%,37.1%,36.4%,44.24%,,
2-3-05,41.7%,33.3%,25.0%,43.03%,,
2-10-05,43.8%,33.3%,22.9%,41.94%,,
2-17-05,36.4%,33.8%,29.9%,38.95%,,
2-24-05,31.8%,36.4%,31.8%,35.72%,,
3-3-05,39.5%,33.3%,27.2%,35.90%,,
3-10-05,49.7%,25.5%,24.8%,37.86%,,
3-17-05,32.5%,35.1%,32.5%,37.71%,,
3-24-05,23.2%,34.8%,41.9%,37.31%,,
3-31-05,28.4%,20.6%,51.0%,35.65%,,
4-7-05,27.7%,28.4%,43.9%,33.65%,,
4-14-05,16.5%,41.8%,41.8%,31.17%,,
4-21-05,36.8%,30.3%,32.9%,31.80%,,
4-28-05,29.8%,35.5%,34.7%,30.58%,,
5-5-05,28.6%,26.5%,44.9%,27.94%,,
5-12-05,30.5%,33.1%,36.4%,27.70%,,
5-19-05,38.92%,32.43%,28.65%,29.66%,,
5-26-05,44.14%,32.43%,23.42%,31.62%,,
6-2-05,48.61%,31.94%,19.44%,34.23%,,
6-9-05,45.98%,34.48%,19.54%,37.92%,,
6-16-05,48.05%,33.12%,18.83%,39.32%,,
6-23-05,46.59%,35.23%,18.18%,41.42%,,
6-30-05,45.89%,24.66%,29.45%,43.59%,,
7-7-05,43.01%,36.56%,20.43%,45.15%,,
7-14-05,57.89%,28.07%,14.04%,47.52%,,
7-21-05,41.18%,31.37%,27.45%,47.15%,,
7-28-05,57.52%,24.84%,17.65%,48.26%,,
8-4-05,47.83%,26.09%,26.09%,48.50%,,
8-11-05,39.74%,31.41%,28.85%,47.46%,,
8-18-05,29.29%,30.30%,40.40%,45.29%,,
8-25-05,36.14%,32.53%,31.33%,44.08%,,
9-1-05,31.76%,30.59%,37.65%,42.67%,,
9-8-05,42.31%,25.00%,32.69%,40.72%,,
9-15-05,51.43%,20.00%,28.57%,42.00%,,
9-22-05,39.47%,28.07%,32.46%,39.75%,,
9-29-05,31.88%,28.99%,39.13%,37.75%,,
10-6-05,50.00%,22.58%,27.42%,39.04%,,
10-13-05,38.96%,12.99%,48.05%,40.24%,,
10-20-05,43.11%,20.96%,35.93%,41.12%,,
10-27-05,32.05%,21.79%,46.15%,41.15%,,
11-3-05,42.95%,29.49%,27.56%,41.23%,,
11-10-05,58.62%,18.39%,22.99%,42.13%,,
11-17-05,53.63%,24.58%,21.79%,43.90%,,
11-24-05,57.33%,26.67%,16.00%,47.08%,,
12-1-05,52.47%,24.07%,23.46%,47.39%,,
12-8-05,49.47%,31.58%,18.95%,48.70%,,
12-15-05,46.15%,31.73%,22.12%,49.08%,,
12-22-05,41.03%,30.77%,28.21%,50.21%,,
12-29-05,37.30%,26.19%,36.51%,49.50%,,
1-5-06,29.35%,30.43%,40.22%,45.84%,,
1-12-06,58.96%,21.97%,19.08%,46.51%,,
1-19-06,50.00%,24.17%,25.83%,45.59%,,
1-26-06,30.77%,35.90%,33.33%,42.88%,,
2-2-06,44.70%,21.97%,33.33%,42.28%,,
2-9-06,40.19%,25.23%,34.58%,41.54%,,
2-16-06,40.18%,24.11%,35.71%,41.43%,,
2-23-06,43.21%,28.40%,28.40%,42.17%,,
3-2-06,40.94%,29.92%,29.13%,43.62%,,
3-9-06,41.21%,28.02%,30.77%,41.40%,,
3-16-06,46.55%,20.69%,32.76%,40.97%,,
3-23-06,43.75%,28.75%,27.50%,42.59%,,
3-30-06,37.21%,30.23%,32.56%,41.66%,,
4-6-06,47.67%,29.07%,23.26%,42.59%,,
4-13-06,45.36%,26.80%,27.84%,43.24%,,
4-20-06,33.73%,25.44%,40.83%,42.05%,,
4-27-06,42.11%,21.93%,35.96%,42.20%,,
5-4-06,45.89%,20.55%,33.56%,42.78%,,
5-11-06,54.90%,17.65%,27.45%,43.83%,,
5-18-06,39.39%,16.97%,43.64%,43.28%,,
5-25-06,33.04%,21.43%,45.54%,42.76%,,
6-1-06,30.77%,19.23%,50.00%,40.65%,,
6-8-06,26.23%,28.69%,45.08%,38.26%,,
6-15-06,26.41%,18.61%,54.98%,37.34%,,
6-22-06,34.40%,24.00%,41.60%,36.38%,,
6-29-06,38.60%,21.64%,39.77%,35.47%,,
7-6-06,37.70%,19.67%,42.62%,33.32%,,
7-13-06,36.50%,24.09%,39.42%,32.96%,,
7-20-06,23.85%,18.35%,57.80%,31.81%,,
7-27-06,34.88%,22.09%,43.02%,32.32%,,
8-3-06,31.46%,21.35%,47.19%,32.98%,,
8-10-06,36.59%,21.95%,41.46%,34.25%,,
8-17-06,30.53%,33.68%,35.79%,33.76%,,
8-24-06,39.35%,23.23%,37.42%,33.86%,,
8-31-06,41.57%,32.58%,25.84%,34.34%,,
9-7-06,42.99%,27.10%,29.91%,35.15%,,
9-14-06,47.95%,13.70%,38.36%,38.17%,,
9-21-06,47.75%,18.02%,34.23%,39.77%,,
9-28-06,51.32%,15.79%,32.89%,42.26%,,
10-5-06,37.78%,15.56%,46.67%,42.41%,,
10-12-06,48.98%,13.27%,37.76%,44.71%,,
10-19-06,54.20%,16.03%,29.77%,46.57%,,
10-26-06,52.17%,17.39%,30.43%,47.89%,,
11-2-06,43.75%,19.38%,36.88%,47.99%,,
11-9-06,50.60%,22.89%,26.51%,48.32%,,
11-16-06,46.56%,22.90%,30.53%,48.17%,,
11-23-06,41.94%,16.13%,41.94%,47.00%,,
11-30-06,40.22%,12.29%,47.49%,47.30%,,
12-7-06,38.94%,19.47%,41.59%,46.05%,,
12-14-06,41.33%,20.67%,38.00%,44.44%,,
12-21-06,39.08%,18.39%,42.53%,42.80%,,
12-28-06,46.00%,18.00%,36.00%,43.08%,,
1-4-07,49.14%,21.55%,29.31%,42.90%,,
1-11-07,44.44%,21.30%,34.26%,42.64%,,
1-18-07,57.78%,15.15%,27.27%,44.62%,,
1-25-07,39.51%,27.16%,33.33%,44.53%,,
2-1-07,46.32%,23.16%,30.53%,45.45%,,
2-8-07,46.15%,23.85%,30.00%,46.05%,,
2-15-07,47.57%,21.36%,31.07%,47.11%,,
2-22-07,53.85%,23.85%,22.31%,48.10%,,
3-1-07,36.63%,23.76%,39.60%,46.53%,,
3-8-07,35.80%,19.32%,44.89%,45.45%,,
3-15-07,32.99%,21.65%,45.36%,42.35%,,
3-22-07,43.88%,23.02%,33.09%,42.90%,,
3-29-07,42.68%,31.71%,25.61%,42.44%,,
4-5-07,32.26%,27.96%,39.78%,40.71%,,
4-12-07,40.85%,21.13%,38.03%,39.87%,,
4-19-07,46.94%,23.47%,29.59%,39.00%,,
4-26-07,39.24%,22.78%,37.97%,39.33%,,
5-3-07,28.57%,17.14%,54.29%,38.43%,,
5-10-07,42.86%,14.29%,42.86%,39.66%,,
5-17-07,38.39%,25.00%,36.61%,38.97%,,
5-24-07,37.35%,24.10%,38.55%,38.31%,,
5-31-07,33.33%,21.88%,44.79%,38.44%,,
6-7-07,40.59%,16.83%,42.57%,38.41%,,
6-14-07,37.30%,19.05%,43.65%,37.20%,,
6-21-07,43.16%,23.16%,33.68%,37.69%,,
6-28-07,39.02%,25.20%,35.77%,39.00%,,
7-5-07,43.84%,23.29%,32.88%,39.12%,,
7-12-07,43.64%,26.36%,30.00%,39.78%,,
7-19-07,41.77%,21.52%,36.71%,40.33%,,
7-26-07,44.21%,18.95%,36.84%,41.69%,,
8-2-07,45.88%,14.12%,40.00%,42.35%,,
8-9-07,45.76%,15.25%,38.98%,43.41%,,
8-16-07,42.22%,12.22%,45.56%,43.29%,,
8-23-07,41.28%,15.60%,43.12%,43.58%,,
8-30-07,40.30%,13.43%,46.27%,43.13%,,
9-6-07,38.38%,19.19%,42.42%,42.48%,,
9-13-07,40.00%,24.71%,35.29%,42.25%,,
9-20-07,39.24%,29.11%,31.65%,41.63%,,
9-27-07,49.37%,16.46%,34.18%,42.07%,,
10-4-07,51.81%,22.89%,25.30%,42.83%,,
10-11-07,54.64%,19.59%,25.77%,44.38%,,
10-18-07,41.96%,22.32%,35.71%,44.46%,,
10-25-07,31.25%,20.54%,48.21%,43.33%,,
11-1-07,44.71%,18.82%,36.47%,44.12%,,
11-8-07,36.19%,12.38%,51.43%,43.65%,,
11-15-07,33.01%,17.48%,49.51%,42.87%,,
11-22-07,25.58%,21.71%,52.71%,39.89%,,
11-29-07,28.57%,15.31%,56.12%,36.99%,,
12-6-07,40.65%,19.51%,39.84%,35.24%,,
12-13-07,47.62%,16.67%,35.71%,35.95%,,
12-20-07,35.85%,16.98%,47.17%,36.52%,,
12-27-07,30.00%,20.00%,50.00%,34.68%,,
1-3-08,25.71%,19.05%,55.24%,33.37%,,
1-10-08,19.63%,21.50%,58.88%,31.70%,,
1-17-08,24.30%,21.30%,54.44%,31.54%,,
1-24-08,25.14%,15.85%,59.02%,31.11%,,
1-31-08,30.08%,21.05%,48.87%,29.79%,,
2-7-08,34.11%,18.69%,47.20%,28.10%,,
2-14-08,33.33%,24.81%,41.86%,27.79%,,
2-21-08,33.18%,22.12%,44.70%,28.19%,,
2-28-08,34.31%,20.44%,45.26%,29.26%,,
3-6-08,21.98%,26.37%,51.65%,29.55%,,
3-13-08,20.42%,20.42%,59.15%,29.07%,,
3-20-08,25.21%,20.51%,54.27%,29.08%,,
3-27-08,41.60%,24.80%,33.60%,30.52%,,
4-3-08,36.70%,23.94%,39.36%,30.84%,,
4-10-08,45.76%,16.95%,37.29%,32.40%,,
4-17-08,30.37%,20.94%,48.69%,32.04%,,
4-24-08,46.67%,25.83%,27.50%,33.59%,,
5-1-08,53.29%,20.39%,26.32%,37.50%,,
5-8-08,52.81%,22.47%,24.72%,41.55%,,
5-15-08,45.16%,25.16%,29.68%,44.05%,,
5-22-08,46.30%,19.44%,34.26%,44.63%,,
5-29-08,31.36%,22.88%,45.76%,43.97%,,
6-5-08,43.48%,18.48%,38.04%,43.68%,,
6-12-08,31.25%,15.18%,53.57%,43.79%,,
6-19-08,32.98%,21.28%,45.74%,42.08%,,
6-26-08,31.25%,16.48%,52.27%,39.32%,,
7-3-08,23.93%,23.93%,52.14%,35.71%,,
7-10-08,22.17%,22.66%,55.17%,32.84%,,
7-17-08,25.00%,16.86%,58.14%,30.18%,,
7-24-08,35.82%,20.14%,44.03%,30.74%,,
7-31-08,40.00%,18.82%,41.18%,30.30%,,
8-7-08,35.61%,21.97%,42.42%,30.85%,,
8-14-08,42.86%,18.18%,38.96%,32.08%,,
8-21-08,38.10%,24.60%,37.30%,32.94%,,
8-28-08,30.68%,23.86%,45.45%,33.78%,,
9-4-08,37.04%,19.75%,43.21%,35.64%,,
9-11-08,29.27%,15.85%,54.88%,36.17%,,
9-18-08,27.21%,18.37%,54.42%,35.10%,,
9-25-08,34.04%,20.21%,45.74%,34.35%,,
10-2-08,33.33%,11.67%,55.00%,34.07%,,
10-9-08,31.47%,7.69%,60.84%,32.64%,,
10-16-08,40.94%,19.30%,39.77%,33.00%,,
10-23-08,38.74%,22.52%,38.74%,34.01%,,
10-30-08,37.14%,22.29%,40.57%,34.02%,,
11-6-08,44.83%,21.84%,33.33%,35.96%,,
11-13-08,38.33%,19.17%,42.50%,37.35%,,
11-20-08,24.37%,18.49%,57.14%,36.14%,,
11-27-08,31.25%,23.86%,44.89%,35.88%,,
12-4-08,26.67%,25.56%,47.78%,35.28%,,
12-11-08,37.50%,22.66%,39.84%,34.85%,,
12-18-08,39.73%,24.66%,35.62%,34.98%,,
12-25-08,28.95%,27.19%,43.86%,33.95%,,
1-1-09,24.00%,21.33%,54.67%,31.35%,,
1-8-09,48.70%,16.23%,35.06%,32.65%,,
1-15-09,27.63%,25.00%,47.37%,33.05%,,
1-22-09,27.21%,26.47%,46.32%,32.55%,,
1-29-09,25.27%,27.47%,47.25%,32.37%,,
2-5-09,24.63%,31.34%,44.03%,30.77%,,
2-12-09,32.91%,27.85%,39.24%,29.91%,,
2-19-09,21.64%,21.64%,56.72%,29.00%,,
2-26-09,24.30%,20.56%,55.14%,29.04%,,
3-5-09,18.92%,10.81%,70.27%,25.31%,,
3-12-09,27.64%,17.89%,54.47%,25.32%,,
3-19-09,45.06%,16.67%,38.27%,27.55%,,
3-26-09,39.13%,18.48%,42.39%,29.28%,,
4-2-09,42.66%,20.28%,37.06%,31.53%,,
4-9-09,35.71%,20.00%,44.29%,31.88%,,
4-16-09,44.14%,20.00%,35.86%,34.70%,,
4-23-09,31.82%,29.55%,38.64%,35.64%,,
4-30-09,36.09%,20.30%,43.61%,37.78%,,
5-7-09,44.09%,22.58%,33.33%,39.84%,,
5-14-09,43.81%,20.95%,35.24%,39.68%,,
5-21-09,33.72%,20.93%,45.35%,39.01%,,
5-28-09,40.37%,11.01%,48.62%,38.72%,,
6-4-09,47.56%,15.85%,36.59%,40.20%,,
6-11-09,39.25%,21.50%,39.25%,39.59%,,
6-18-09,33.33%,20.24%,46.43%,39.78%,,
6-25-09,28.00%,23.20%,48.80%,38.77%,,
7-2-09,37.84%,17.57%,44.59%,37.99%,,
7-9-09,27.91%,17.44%,54.65%,36.00%,,
7-16-09,28.68%,24.26%,47.06%,35.37%,,
7-23-09,37.60%,20.00%,42.40%,35.02%,,
7-30-09,47.67%,20.93%,31.40%,35.04%,,
8-6-09,50.00%,14.84%,35.16%,36.38%,,
8-13-09,51.00%,16.00%,33.00%,38.59%,,
8-20-09,34.07%,25.93%,40.00%,39.35%,,
8-27-09,33.98%,17.48%,48.54%,38.86%,,
9-3-09,37.97%,24.05%,37.97%,40.12%,,
9-10-09,37.33%,18.67%,44.00%,41.20%,,
9-17-09,42.14%,17.86%,40.00%,41.77%,,
9-24-09,39.09%,16.36%,44.55%,40.70%,,
10-1-09,43.55%,20.97%,35.48%,39.89%,,
10-8-09,35.09%,23.68%,41.23%,37.90%,,
10-15-09,47.30%,18.92%,33.78%,39.56%,,
10-22-09,40.48%,23.81%,35.71%,40.37%,,
10-29-09,33.65%,24.04%,42.31%,39.83%,,
11-5-09,22.22%,22.22%,55.56%,37.94%,,
11-12-09,38.60%,22.80%,38.60%,37.50%,,
11-19-09,42.73%,25.45%,31.82%,37.95%,,
11-26-09,41.66%,16.66%,41.66%,37.72%,,
12-3-09,41.58%,24.75%,33.66%,38.53%,,
12-10-09,42.68%,21.95%,35.37%,37.95%,,
12-17-09,42.11%,29.47%,28.42%,38.15%,,
12-24-09,37.68%,24.64%,37.68%,38.66%,,
12-31-09,49.18%,27.87%,22.95%,42.03%,,
1-7-10,41.00%,33.00%,26.00%,42.33%,,
1-14-10,47.44%,25.64%,26.92%,42.92%,,
1-21-10,40.00%,25.26%,34.74%,42.71%,,
1-28-10,35.00%,28.33%,36.67%,41.89%,,
2-4-10,29.23%,27.69%,43.08%,40.21%,,
2-11-10,36.75%,21.37%,41.88%,39.54%,,
2-18-10,35.85%,28.93%,35.22%,39.31%,,
2-25-10,34.89%,35.57%,29.53%,37.52%,,
3-4-10,35.86%,37.93%,26.21%,36.88%,,
3-11-10,45.29%,29.41%,25.29%,36.61%,,
3-18-10,35.37%,34.76%,29.88%,36.03%,,
3-25-10,32.39%,32.95%,34.66%,35.70%,,
4-1-10,41.30%,27.54%,31.16%,37.21%,,
4-8-10,42.86%,26.79%,30.36%,37.98%,,
4-15-10,48.48%,21.82%,29.70%,39.56%,,
4-22-10,38.12%,27.62%,34.25%,39.96%,,
4-29-10,41.36%,30.00%,28.64%,40.65%,,
5-6-10,39.13%,32.30%,28.57%,39.88%,,
5-13-10,36.60%,26.80%,36.60%,40.03%,,
5-20-10,41.30%,25.00%,33.70%,41.14%,,
5-27-10,29.83%,19.30%,50.88%,39.71%,,
6-3-10,37.09%,22.07%,40.85%,38.99%,,
6-10-10,34.48%,22.41%,43.10%,37.24%,,
6-17-10,42.45%,26.89%,30.66%,37.78%,,
6-24-10,34.46%,33.11%,32.43%,36.92%,,
7-1-10,24.68%,33.33%,41.99%,35.11%,,
7-8-10,20.94%,21.99%,57.07%,33.15%,,
7-15-10,39.37%,22.84%,37.80%,32.91%,,
7-22-10,32.16%,22.81%,45.03%,33.20%,,
7-29-10,40.00%,26.67%,33.33%,33.57%,,
8-5-10,30.39%,31.37%,38.24%,33.06%,,
8-12-10,39.76%,30.12%,30.12%,32.72%,,
8-19-10,30.11%,27.42%,42.47%,32.18%,,
8-26-10,20.74%,29.79%,49.47%,31.68%,,
9-2-10,30.80%,27.00%,42.21%,32.92%,,
9-9-10,43.87%,24.51%,31.61%,33.48%,,
9-16-10,50.89%,24.85%,24.26%,35.82%,,
9-23-10,44.97%,29.63%,25.40%,36.44%,,
9-30-10,42.53%,25.86%,31.61%,37.96%,,
10-7-10,49.03%,23.23%,27.74%,39.12%,,
10-14-10,47.10%,26.09%,26.81%,41.24%,,
10-21-10,49.62%,25.19%,25.19%,44.85%,,
10-28-10,51.23%,27.16%,21.60%,47.41%,,
11-4-10,48.23%,21.99%,29.79%,47.95%,,
11-11-10,57.56%,13.95%,28.49%,48.78%,,
11-18-10,40.00%,27.50%,32.50%,48.16%,,
11-25-10,47.40%,27.92%,24.68%,48.77%,,
12-2-10,49.66%,24.14%,26.21%,48.85%,,
12-9-10,53.05%,24.39%,22.56%,49.59%,,
12-16-10,50.23%,22.62%,27.15%,49.67%,,
12-23-10,63.28%,20.31%,16.40%,51.18%,,
12-30-10,51.61%,28.34%,20.05%,51.60%,,
1-6-11,55.88%,25.86%,18.25%,51.39%,,
1-13-11,52.34%,24.22%,23.44%,52.93%,,
1-20-11,50.75%,20.15%,29.10%,53.35%,,
1-27-11,42.04%,23.67%,34.29%,52.40%,,
2-3-11,51.54%,21.59%,26.87%,52.21%,,
2-10-11,49.40%,23.69%,26.91%,52.11%,,
2-17-11,46.58%,27.85%,25.57%,50.02%,,
2-24-11,36.63%,27.23%,36.14%,48.15%,,
3-3-11,36.79%,30.05%,33.16%,45.76%,,
3-10-11,35.97%,31.71%,32.32%,43.71%,,
3-17-11,28.49%,31.39%,40.12%,40.93%,,
3-24-11,37.74%,27.27%,34.97%,40.39%,,
3-31-11,41.81%,27.12%,31.07%,39.18%,,
4-7-11,43.59%,27.56%,28.85%,38.45%,,
4-14-11,42.25%,26.76%,30.99%,37.91%,,
4-21-11,32.16%,36.84%,30.99%,37.35%,,
4-28-11,37.90%,31.45%,30.65%,37.49%,,
5-5-11,35.46%,32.67%,31.87%,37.43%,,
5-12-11,30.77%,33.73%,35.50%,37.71%,,
5-19-11,26.69%,32.02%,41.29%,36.33%,,
5-26-11,25.61%,32.97%,41.42%,34.30%,,
6-2-11,30.18%,36.39%,33.43%,32.63%,,
6-9-11,24.42%,27.91%,47.67%,30.40%,,
6-16-11,29.00%,28.25%,42.75%,30.00%,,
6-23-11,37.46%,26.80%,35.74%,29.95%,,
6-30-11,38.31%,31.49%,30.19%,30.31%,,
7-7-11,41.77%,33.54%,24.68%,31.68%,,
7-14-11,39.31%,31.45%,29.25%,33.26%,,
7-21-11,39.86%,29.54%,30.61%,35.04%,,
7-28-11,37.84%,30.74%,31.42%,36.00%,,
8-4-11,27.16%,22.99%,49.85%,36.34%,,
8-11-11,33.43%,21.79%,44.78%,36.89%,,
8-18-11,35.56%,24.62%,39.82%,36.66%,,
8-25-11,36.44%,22.60%,40.96%,36.42%,,
9-1-11,38.62%,29.04%,32.34%,36.03%,,
9-8-11,30.22%,29.50%,40.29%,34.89%,,
9-15-11,30.50%,28.15%,41.35%,33.72%,,
9-22-11,25.33%,26.67%,48.00%,32.16%,,
9-29-11,32.51%,20.68%,46.79%,32.83%,,
10-6-11,35.23%,19.04%,45.71%,33.05%,,
10-13-11,39.77%,23.86%,36.36%,33.58%,,
10-20-11,35.98%,29.41%,34.60%,33.52%,,
10-27-11,43.00%,32.00%,25.00%,34.07%,,
11-3-11,40.18%,30.20%,29.62%,35.31%,,
11-10-11,44.73%,30.70%,24.56%,37.09%,,
11-17-11,41.93%,27.01%,31.04%,39.17%,,
11-24-11,32.71%,29.01%,38.27%,39.19%,,
12-1-11,33.04%,27.53%,39.42%,38.92%,,
12-8-11,38.57%,26.66%,34.76%,38.77%,,
12-15-11,40.18%,26.16%,33.64%,39.29%,,
12-22-11,33.73%,38.04%,28.24%,38.13%,,
12-29-11,40.60%,28.57%,30.83%,38.19%,,
1-5-12,48.88%,33.95%,17.16%,38.70%,,
1-12-12,49.14%,33.68%,17.18%,39.61%,,
1-19-12,47.23%,29.15%,23.61%,41.42%,,
1-26-12,48.40%,32.69%,18.91%,43.34%,,
2-2-12,43.81%,31.12%,25.08%,43.99%,,
2-9-12,51.64%,28.17%,20.19%,45.43%,,
2-16-12,42.71%,30.65%,26.63%,46.55%,,
2-23-12,43.69%,28.80%,27.51%,46.94%,,
3-1-12,44.51%,28.66%,26.83%,46.39%,,
3-8-12,42.38%,28.62%,29.00%,45.55%,,
3-15-12,45.61%,27.20%,27.20%,45.34%,,
3-22-12,42.38%,29.80%,27.81%,44.59%,,
3-29-12,42.47%,32.05%,25.48%,44.42%,,
4-5-12,38.17%,34.02%,27.80%,42.74%,,
4-12-12,28.14%,30.30%,41.56%,40.92%,,
4-19-12,31.18%,34.98%,33.84%,39.36%,,
4-26-12,27.64%,34.96%,37.40%,37.25%,,
5-3-12,35.40%,36.13%,28.47%,36.37%,,
5-10-12,25.40%,32.54%,42.06%,33.85%,,
5-17-12,23.58%,30.45%,45.97%,31.50%,,
5-24-12,30.47%,30.86%,38.67%,30.00%,,
5-31-12,28.02%,29.96%,42.02%,28.73%,,
6-7-12,27.45%,26.80%,45.75%,28.64%,,
6-14-12,34.04%,30.18%,35.79%,29.00%,,
6-21-12,32.89%,31.23%,35.88%,29.66%,,
6-28-12,28.67%,26.96%,44.37%,28.81%,,
7-5-12,32.64%,34.03%,33.33%,29.72%,,
7-12-12,30.23%,35.05%,34.73%,30.55%,,
7-19-12,22.19%,36.02%,41.79%,29.51%,,
7-26-12,28.12%,28.75%,43.13%,29.53%,,
8-2-12,30.45%,34.63%,34.93%,29.90%,,
8-9-12,36.47%,36.18%,27.35%,30.21%,,
8-16-12,36.84%,35.09%,28.07%,30.70%,,
8-23-12,41.96%,32.17%,25.87%,32.36%,,
